# Modified data written from folder X1mg_mod on Mon, Sep 16, 2013 11:53:13 AM
#    effective Q	           I(Q)	          dI(Q)	        stdev Q
          0.1427	    0.003041083	  0.00023601954	       0.009046
          0.1462	    0.002697331	  0.00023625073	       0.009202
          0.1496	   0.0025246864	  0.00023347143	       0.009359
          0.1531	   0.0024953143	   0.0002105336	       0.009517
          0.1566	   0.0021336286	  0.00021454529	       0.009676
            0.16	   0.0022531987	  0.00023414082	       0.009835
          0.1635	   0.0019827192	  0.00022056773	       0.009995
          0.1669	   0.0018257938	  0.00021329113	        0.01016
          0.1704	   0.0016969011	  0.00022529948	        0.01032
          0.1738	   0.0013447854	   0.0001915365	        0.01048
          0.1772	   0.0014037276	  0.00020389172	        0.01064
          0.1807	   0.0012969011	  0.00019997818	         0.0108
          0.1841	   0.0011273805	  0.00019763839	        0.01097
          0.1875	  0.00096219031	  0.00021858788	        0.01113
          0.1909	   0.0010206036	  0.00018326245	        0.01129
          0.1943	  0.00076800845	  0.00018256874	        0.01146
          0.1977	  0.00067219031	   0.0002027755	        0.01162
          0.2011	  0.00060319866	  0.00019781185	        0.01179
          0.2045	  0.00054166139	  0.00020394827	        0.01195
          0.2079	  0.00058329766	  0.00020237914	        0.01212
          0.2113	  0.00055060355	  0.00021480233	        0.01228
          0.2147	  0.00037901679	  0.00020445611	        0.01245
          0.2181	  0.00044478542	  0.00020528523	        0.01262
          0.2215	  0.00020372758	  0.00019797059	        0.01278
          0.2248	  0.00030959521	  0.00021266872	        0.01295
          0.2282	  0.00013743003	  0.00021373063	        0.01311
          0.2315	  0.00023647118	  0.00021276533	        0.01328
          0.2349	  0.00019752902	   0.0002338558	        0.01345
          0.2382	  0.00036329766	  0.00024318896	        0.01361
          0.2416	  0.00014012413	  0.00023552522	        0.01378
          0.2449	   0.0002470496	  0.00024607939	        0.01395
          0.2482	 -0.00011199155	  0.00022469383	        0.01411
          0.2516	  0.00011329766	   0.0002658606	        0.01428
          0.2549	  9.7049602e-05	  0.00022306778	        0.01445
          0.2582	   0.0002943555	  0.00023658624	        0.01461
          0.2615	  0.00031863636	   0.0002407255	        0.01478
          0.2648	  0.00013075205	   0.0002355881	        0.01494
          0.2681	  5.0752049e-05	  0.00023955097	        0.01511
          0.2714	  0.00026022313	  0.00024509322	        0.01528
          0.2747	  6.1330469e-05	  0.00024534017	        0.01544
          0.2779	 -0.00024199155	  0.00023365733	        0.01561
          0.2812	  5.2338812e-05	  0.00022655184	        0.01577
          0.2845	  0.00014493392	  0.00024193538	        0.01594
          0.2877	  0.00026561134	   0.0002504411	         0.0161
           0.291	  -5.871903e-05	  0.00022926592	        0.01627
          0.2942	  0.00022604126	  0.00026713513	        0.01643
          0.2975	  0.00013863636	  0.00024362168	         0.0166
          0.3007	  1.3347155e-05	  0.00024750472	        0.01676
          0.3039	  1.0223128e-05	  0.00023441472	        0.01693
          0.3071	   -0.000375595	  0.00026244148	        0.01709
          0.3103	  0.00010085105	   0.0002389729	        0.01726
          0.3135	 -0.00023982637	  0.00025807062	        0.01742
          0.3167	  0.00014286773	  0.00024813204	        0.01758
          0.3199	   0.0001171486	  0.00023898222	        0.01775
          0.3231	 -0.00017823961	  0.00024431112	        0.01791
          0.3263	  0.00012926428	  0.00023575665	        0.01807
          0.3294	  5.5512338e-05	  0.00025304978	        0.01824
          0.3326	 -7.6652845e-05	  0.00024777378	         0.0184
